,ID,Score,Program
693,KUCAT_2019_343,728,ce
694,KUCAT_2019_344,662,civil
695,KUCAT_2019_345,966,ce
696,KUCAT_2019_346,535,civil
697,KUCAT_2019_347,750,hydro
698,KUCAT_2019_348,583,civil
699,KUCAT_2019_349,982,civil
700,KUCAT_2019_350,915,ce
701,KUCAT_2019_351,690,chem
702,KUCAT_2019_352,711,civil
703,KUCAT_2019_353,802,ce
704,KUCAT_2019_354,690,communication
705,KUCAT_2019_355,1007,civil
706,KUCAT_2019_356,956,civil
707,KUCAT_2019_357,0,civil
708,KUCAT_2019_358,888,civil
709,KUCAT_2019_359,739,pharma
710,KUCAT_2019_360,641,ce
711,KUCAT_2019_361,508,ce
712,KUCAT_2019_362,492,ce
713,KUCAT_2019_363,469,pharma
714,KUCAT_2019_364,692,design
715,KUCAT_2019_365,0,civil
716,KUCAT_2019_366,517,ce
717,KUCAT_2019_367,623,civil
718,KUCAT_2019_368,675,civil
719,KUCAT_2019_369,863,civil
720,KUCAT_2019_370,823,ce
721,KUCAT_2019_371,853,civil
722,KUCAT_2019_372,986,civil
723,KUCAT_2019_373,994,civil
724,KUCAT_2019_374,545,civil
725,KUCAT_2019_375,542,pharma
726,KUCAT_2019_376,502,pharma
727,KUCAT_2019_377,881,geo
728,KUCAT_2019_378,704,ce
729,KUCAT_2019_379,653,ce
730,KUCAT_2019_380,659,arch
731,KUCAT_2019_381,780,civil
732,KUCAT_2019_382,809,ce
733,KUCAT_2019_383,654,civil
734,KUCAT_2019_384,492,civil
735,KUCAT_2019_385,512,ce
736,KUCAT_2019_386,779,civil
737,KUCAT_2019_387,859,ce
738,KUCAT_2019_388,926,power
739,KUCAT_2019_389,532,civil
740,KUCAT_2019_390,1211,auto
741,KUCAT_2019_391,476,arch
742,KUCAT_2019_392,692,civil
743,KUCAT_2019_393,643,auto
744,KUCAT_2019_394,658,ce
745,KUCAT_2019_395,497,geo
746,KUCAT_2019_352,711,civil
747,KUCAT_2019_353,802,ce
748,KUCAT_2019_354,690,communication
749,KUCAT_2019_355,1007,civil
750,KUCAT_2019_356,956,civil
751,KUCAT_2019_357,0,civil
752,KUCAT_2019_358,888,civil
753,KUCAT_2019_359,739,pharma
754,KUCAT_2019_360,641,ce
755,KUCAT_2019_361,508,ce
756,KUCAT_2019_362,492,ce
757,KUCAT_2019_363,469,pharma
758,KUCAT_2019_364,692,design
759,KUCAT_2019_365,0,civil
760,KUCAT_2019_366,517,ce
761,KUCAT_2019_367,623,civil
762,KUCAT_2019_368,675,civil
763,KUCAT_2019_369,863,civil
764,KUCAT_2019_370,823,ce
765,KUCAT_2019_371,853,civil
766,KUCAT_2019_372,986,civil
