Year,ID,Exam Type,Score,Program
2019,KUCAT_2019_222,KUCAT-PCM,1147,CE
2019,KUCAT_2019_223,KUCAT-PCM,475,Civil
2019,KUCAT_2019_224,KUCAT-PCM,516,CE
2019,KUCAT_2019_225,KUCAT-PCM,1020,CE
2019,KUCAT_2019_226,KUCAT-PCM,959,CE
2019,KUCAT_2019_227,KUCAT-PCM,959,CE
2019,KUCAT_2019_228,KUCAT-PCM,976,CE
2019,KUCAT_2019_229,KUCAT-PCM,871,Geo
2019,KUCAT_2019_230,KUCAT-PCM,506,Geo
2019,KUCAT_2019_231,KUCAT-PCM,620,CE
2019,KUCAT_2019_232,KUCAT-PCM,769,CE
2019,KUCAT_2019_233,KUCAT-PCM,802,Auto
2019,KUCAT_2019_234,KUCAT-PCM,510,Auto
2019,KUCAT_2019_235,KUCAT-PCM,876,CE
2019,KUCAT_2019_236,KUCAT-PCM,532,Civil
2019,KUCAT_2019_237,KUCAT-PCM,711,Geo
2019,KUCAT_2019_238,KUCAT-PCM,483,Civil
2019,KUCAT_2019_239,KUCAT-PCB,525,Pharma
2019,KUCAT_2019_240,KUCAT-PCB,376,Pharma
2019,KUCAT_2019_241,KUCAT-PCB,747,Pharma
2019,KUCAT_2019_242,KUCAT-PCB,414,Pharma
2019,KUCAT_2019_243,KUCAT-PCM,802,Civil
2019,KUCAT_2019_244,KUCAT-PCM,570,Civil
2019,KUCAT_2019_245,KUCAT-PCM,867,Civil
2019,KUCAT_2019_246,KUCAT-PCM,740,Civil
2019,KUCAT_2019_247,KUCAT-PCM,625,Civil
2019,KUCAT_2019_248,KUCAT-PCM,981,Civil
2019,KUCAT_2019_249,KUCAT-PCM,786,Civil
2019,KUCAT_2019_250,KUCAT-PCM,997,Geo
2019,KUCAT_2019_251,KUCAT-PCM,540,Civil
2019,KUCAT_2019_252,KUCAT-PCM,705,Civil
2019,KUCAT_2019_253,KUCAT-PCM,546,Civil
2019,KUCAT_2019_254,KUCAT-PCM,910,Arch
2019,KUCAT_2019_255,KUCAT-PCB,579,Pharma
2019,KUCAT_2019_256,KUCAT-PCM,671,Power
2019,KUCAT_2019_257,KUCAT-PCM,931,Hydro
2019,KUCAT_2019_258,KUCAT-PCM,874,CE
2019,KUCAT_2019_259,KUCAT-PCM,920,Communication
2019,KUCAT_2019_260,KUCAT-PCM,495,CE
2019,KUCAT_2019_261,KUCAT-PCM,626,CE
2019,KUCAT_2019_262,KUCAT-PCM,649,CE
2019,KUCAT_2019_263,KUCAT-PCM,863,Civil
2019,KUCAT_2019_220,KUCAT-PCM,595,Civil
2019,KUCAT_2019_221,KUCAT-PCM,478,CE
2019,KUCAT_2019_222,KUCAT-PCM,1147,CE
2019,KUCAT_2019_223,KUCAT-PCM,475,Civil
2019,KUCAT_2019_224,KUCAT-PCM,516,CE
2019,KUCAT_2019_225,KUCAT-PCM,1020,CE
2019,KUCAT_2019_226,KUCAT-PCM,959,CE
2019,KUCAT_2019_227,KUCAT-PCM,959,CE
2019,KUCAT_2019_228,KUCAT-PCM,976,CE
2019,KUCAT_2019_229,KUCAT-PCM,871,Geo
2019,KUCAT_2019_230,KUCAT-PCM,506,Geo
2019,KUCAT_2019_231,KUCAT-PCM,620,CE
2019,KUCAT_2019_232,KUCAT-PCM,769,CE
2019,KUCAT_2019_233,KUCAT-PCM,802,Auto
2019,KUCAT_2019_234,KUCAT-PCM,510,Auto
2019,KUCAT_2019_235,KUCAT-PCM,876,CE
2019,KUCAT_2019_236,KUCAT-PCM,532,Civil
2019,KUCAT_2019_237,KUCAT-PCM,711,Geo
2019,KUCAT_2019_238,KUCAT-PCM,483,Civil
2019,KUCAT_2019_239,KUCAT-PCB,525,Pharma
2019,KUCAT_2019_240,KUCAT-PCB,376,Pharma
2019,KUCAT_2019_241,KUCAT-PCB,747,Pharma
2019,KUCAT_2019_242,KUCAT-PCB,414,Pharma
2019,KUCAT_2019_243,KUCAT-PCM,802,Civil
2019,KUCAT_2019_244,KUCAT-PCM,570,Civil
2019,KUCAT_2019_245,KUCAT-PCM,867,Civil
2019,KUCAT_2019_246,KUCAT-PCM,740,Civil
2019,KUCAT_2019_247,KUCAT-PCM,625,Civil
2019,KUCAT_2019_248,KUCAT-PCM,981,Civil
2019,KUCAT_2019_249,KUCAT-PCM,786,Civil
2019,KUCAT_2019_250,KUCAT-PCM,997,Geo
2019,KUCAT_2019_251,KUCAT-PCM,540,Civil
2019,KUCAT_2019_252,KUCAT-PCM,705,Civil
2019,KUCAT_2019_253,KUCAT-PCM,546,Civil
2019,KUCAT_2019_254,KUCAT-PCM,910,Arch
2019,KUCAT_2019_255,KUCAT-PCB,579,Pharma
2019,KUCAT_2019_256,KUCAT-PCM,671,Power
2019,KUCAT_2019_257,KUCAT-PCM,931,Hydro
2019,KUCAT_2019_258,KUCAT-PCM,874,CE
2019,KUCAT_2019_259,KUCAT-PCM,920,Communication
2019,KUCAT_2019_260,KUCAT-PCM,495,CE
2019,KUCAT_2019_261,KUCAT-PCM,626,CE
2019,KUCAT_2019_262,KUCAT-PCM,649,CE
2019,KUCAT_2019_263,KUCAT-PCM,863,Civil
2019,KUCAT_2019_264,KUCAT-PCM,798,Arch
2019,KUCAT_2019_265,KUCAT-PCM,1044,Civil
2019,KUCAT_2019_266,KUCAT-PCM,561,Civil
2019,KUCAT_2019_267,KUCAT-PCM,474,CE
2019,KUCAT_2019_268,KUCAT-PCM,788,Power
2019,KUCAT_2019_269,KUCAT-PCM,891,Arch
2019,KUCAT_2019_270,KUCAT-PCM,546,CE
2019,KUCAT_2019_271,KUCAT-PCM,773,Civil
2019,KUCAT_2019_272,KUCAT-PCM,745,Civil
2019,KUCAT_2019_273,KUCAT-PCM,869,Communication
2019,KUCAT_2019_274,KUCAT-PCM,580,CE
2019,KUCAT_2019_275,KUCAT-PCM,925,Civil
2019,KUCAT_2019_276,KUCAT-PCM,855,CE
2019,KUCAT_2019_277,KUCAT-PCM,736,Civil
2019,KUCAT_2019_278,KUCAT-PCM,651,Arch
2019,KUCAT_2019_279,KUCAT-PCM,874,Auto
2019,KUCAT_2019_280,KUCAT-PCM,722,Civil
